Date,High,low,Close,No.of Trades,Turn over
03-03-14,65.40,64.30,65.00,25,"668,389.10"
04-03-14,64.60,64.30,64.30,12,"3,151,080.00"
05-03-14,64.50,63.50,63.80,17,"951,620.50"
06-03-14,64.00,63.30,64.00,24,"1,675,555.00"
07-03-14,64.30,63.60,64.00,25,"3,134,630.00"
10-03-14,64.00,63.50,64.00,15,"692,544.00"
11-03-14,64.00,63.00,63.70,20,"1,427,671.00"
12-03-14,63.70,62.80,63.00,45,"8,071,177.40"
13-03-14,63.00,62.80,63.00,33,"4,291,790.00"
14-03-14,63.00,62.80,63.00,8,"575,070.00"
17-03-14,63.00,63.00,63.00,6,"573,300.00"
18-03-14,63.50,63.00,63.30,29,"3,266,533.10"
19-03-14,64.00,63.10,63.50,19,"2,932,614.00"
20-03-14,63.80,63.50,63.50,10,"1,938,118.20"
21-03-14,64.50,64.00,64.10,7,"617,090.50"
24-03-14,64.00,63.60,64.00,22,"2,237,320.00"
25-03-14,64.50,64.00,64.40,17,"1,957,101.20"
26-03-14,64.50,64.40,64.50,20,"2,744,518.50"
27-03-14,65.00,64.50,65.00,16,"625,621.50"
28-03-14,65.90,64.80,65.00,22,"2,645,630.40"
31-03-14,65.40,64.90,64.90,16,"2,353,803.40"
01-04-14,64.00,63.00,63.50,38,"3,540,536.00"
02-04-14,64.50,63.00,63.10,25,"1,907,807.50"
03-04-14,65.00,63.50,65.00,48,"5,034,848.50"
04-04-14,65.30,64.50,65.20,31,"2,618,355.00"
07-04-14,65.10,65.00,65.10,21,"1,672,320.00"
08-04-14,65.40,65.10,65.20,13,"6,708,528.90"
09-04-14,66.30,65.20,65.80,21,"650,106.00"
10-04-14,66.50,65.50,66.30,44,"6,318,095.00"
11-04-14,66.60,66.00,66.10,36,"4,767,584.50"
16-04-14,67.40,66.00,67.00,43,"10,133,489.40"
17-04-14,68.00,67.00,67.80,62,"9,074,998.60"
21-04-14,68.00,67.00,67.20,13,"378,247.80"
22-04-14,67.50,66.50,66.70,38,"4,352,815.00"
23-04-14,67.00,66.00,66.50,23,"1,797,247.00"
24-04-14,66.60,66.50,66.50,9,"204,394.50"
25-04-14,67.50,66.60,67.50,16,"1,290,524.00"
28-04-14,67.50,66.50,67.40,28,"1,166,835.00"
29-04-14,67.80,66.70,67.00,46,"2,422,833.40"
30-04-14,67.50,66.50,66.90,41,"2,253,555.50"
02-05-14,67.00,66.50,66.90,25,"1,553,232.20"
05-05-14,67.80,66.80,67.50,31,"4,107,981.80"
06-05-14,67.50,67.10,67.50,47,"2,717,913.90"
07-05-14,67.90,67.10,67.80,21,"409,470.30"
08-05-14,68.00,67.10,67.30,47,"7,450,524.90"
09-05-14,68.40,67.20,68.00,63,"6,269,860.00"
12-05-14,70.90,67.70,70.00,147,"27,304,421.80"
13-05-14,70.90,69.50,69.80,35,"4,545,878.10"
16-05-14,69.60,69.00,69.00,27,"5,323,453.30"
19-05-14,69.50,68.90,68.90,26,"3,356,515.20"
20-05-14,69.00,68.00,68.00,17,"1,327,727.40"
21-05-14,68.00,67.60,67.80,29,"5,925,952.80"
22-05-14,68.00,67.70,68.00,16,"625,755.40"
23-05-14,68.50,68.00,68.00,11,"1,689,256.50"
26-05-14,68.40,68.10,68.10,9,"943,161.40"
